Class ;Discord
Abyss Spawn;https://discord.com/channels/728375347732807825/1484577173044985897
Archezealot;https://discord.com/channels/728375347732807825/1393038149961256981
Bloodbite;https://discord.com/channels/728375347732807825/1396137367743758366
Bloom Matron;https://discord.com/channels/728375347732807825/1473397594788200608
Briskwind;https://discord.com/channels/728375347732807825/1392818208523948173
Brutalizer;https://discord.com/channels/728375347732807825/1484939286364164126
Bulwark;https://discord.com/channels/728375347732807825/1298631301124984884
Burntboot;https://discord.com/channels/728375347732807825/777639385956745232
Butcher;https://discord.com/channels/728375347732807825/1305167487456907274
Corruptor;https://discord.com/channels/728375347732807825/1222175418086457476
Crown Guard;https://discord.com/channels/728375347732807825/1096201516483883099
Draketamer;https://discord.com/channels/728375347732807825/1225941259005464576
Dreadscourge;https://discord.com/channels/728375347732807825/1397454015310332014
Dreamstrider;https://discord.com/channels/728375347732807825/1317189462131867698
Drifter;https://discord.com/channels/305423679389696000/1042535053508493363
Dustwatcher;https://discord.com/channels/728375347732807825/1272606757105172491
Hierophant2;https://discord.com/channels/728375347732807825/1458661678697676887
Hunter;https://discord.com/channels/728375347732807825/1130577807932665936
Ironsights;https://discord.com/channels/728375347732807825/1323045940763951135
Luminary2;https://discord.com/channels/728375347732807825/1454484888144183347
Mechanist;https://discord.com/channels/728375347732807825/1357170086766711015
Metal Mosaic;https://discord.com/channels/305423679389696000/1042562948066988032
Modulator;https://discord.com/channels/728375347732807825/1174129226736205855
Poet;https://discord.com/channels/728375347732807825/1441563119901081630
Polyphage;https://discord.com/channels/728375347732807825/1356806082600898580
Raindancer;https://discord.com/channels/728375347732807825/1467289048371564616
Reclaimer;https://discord.com/channels/728375347732807825/1110516096013963365
Rive Runner;https://discord.com/channels/728375347732807825/1393038149961256981
Runescribe;https://discord.com/channels/728375347732807825/1486017492026396782
Sandstinger;https://discord.com/channels/728375347732807825/1272606598333726873
Scavenger;https://discord.com/channels/728375347732807825/1312746857193148447
Screwloose;https://discord.com/channels/728375347732807825/1276285133690896426
Shattered;https://discord.com/channels/728375347732807825/1486345708134203523
Shellskipper;https://discord.com/channels/728375347732807825/1350950650070171699
Silent Knife;https://discord.com/channels/305423679389696000/369541109757771777
Siphoner;https://discord.com/channels/728375347732807825/1402723097316032644
Skyreader;https://discord.com/channels/728375347732807825/1347978727199473777
Snagshot;https://discord.com/channels/728375347732807825/1484143569538121818
Snatcher;https://discord.com/channels/728375347732807825/1383913973996458185
Sporebearer;https://discord.com/channels/728375347732807825/1391114281453359154
Tunnelforge;https://discord.com/channels/728375347732807825/1385429557921841252
Twilight;https://discord.com/channels/728375347732807825/1355359695681880124
Vesper;https://discord.com/channels/728375347732807825/1485292404063080470
Worldbender;https://discord.com/channels/728375347732807825/931388665672921089
